subgroup_type,subgroup_value,wave_year,metric,estimate,std.error,ci_low,ci_high,effective_n,n,status
overall,all,2010,upward_mobility_rate,0.3114527557539208,0.01592837884505606,0.2802337068855012,0.34267180462234037,845.2453092727199,913,ok
overall,all,2016,upward_mobility_rate,0.25572961435671687,0.014770229568629016,0.22678049635881542,0.2846787323546183,872.4434202520358,1185,ok
overall,all,2022,upward_mobility_rate,0.2460699036858465,0.021561486111608484,0.20381016745393332,0.2883296399177597,399.05448625299556,776,ok
urban_rural,rural,2010,upward_mobility_rate,0.30396436905161794,0.02073330390065945,0.2633278401258016,0.34460089797743426,492.1722502711382,526,ok
urban_rural,urban,2010,upward_mobility_rate,0.27838562303698905,0.029353748371619273,0.22085333341736402,0.3359179126566141,233.14432353305702,254,ok
urban_rural,rural,2016,upward_mobility_rate,0.250025544080936,0.01893397917703365,0.21291562680991874,0.28713546135195334,523.0546439053011,683,ok
urban_rural,urban,2016,upward_mobility_rate,0.26109627600897123,0.022505144829605448,0.21698700267608675,0.30520554934185573,380.91222281304493,502,ok
urban_rural,rural,2022,upward_mobility_rate,0.27082609369567584,0.028936132724017523,0.2141123157047306,0.3275398716866211,235.85258958457604,491,ok
urban_rural,urban,2022,upward_mobility_rate,0.20351141918394042,0.03117885558407027,0.14240198515998714,0.2646208532078937,166.74314773666006,285,ok
gender,female,2010,upward_mobility_rate,0.30510841889837154,0.020483526495080433,0.26496144469164196,0.3452553931051011,505.31452907053193,544,ok
gender,male,2010,upward_mobility_rate,0.320767292770083,0.025315662256895827,0.2711495065017872,0.37038507903837875,339.9617711468603,369,ok
gender,female,2016,upward_mobility_rate,0.2390008650666618,0.01960913736064846,0.200567662071892,0.27743406806143156,473.0060095621682,643,ok
gender,male,2016,upward_mobility_rate,0.279969519316996,0.02215835788367066,0.23653993590845232,0.3233991027255396,410.5693152228404,542,ok
gender,female,2022,upward_mobility_rate,0.2596294153933515,0.02797703563899357,0.20479543314673057,0.31446339763997244,245.58376824716404,516,ok
gender,male,2022,upward_mobility_rate,0.23165749616899386,0.032852875256463444,0.16726704387773844,0.2960479484602493,164.91283104861378,260,ok
region,Bukhara region,2010,upward_mobility_rate,0.25098887733956393,0.04340503338453425,0.16591657515811814,0.3360611795210097,99.78437782202273,106,ok
region,Jizzakh region,2010,upward_mobility_rate,0.34615028918034596,0.06560419560036952,0.21756842856890066,0.47473214979179124,52.58712222591823,55,ok
region,Karakalpakstan republic,2010,upward_mobility_rate,0.28339230499654966,0.060471182541475085,0.1648709651127112,0.4019136448803881,55.53574445088616,59,ok
region,Khorezm region,2010,upward_mobility_rate,0.21758895956512214,0.051293864791573045,0.11705483194577188,0.3181230871844724,64.70546763104015,69,ok
region,Namangan region,2010,upward_mobility_rate,0.29627620458953396,0.0392778495323191,0.21929303411600515,0.3732593750630628,135.1461271350661,144,ok
region,Navoi region,2010,upward_mobility_rate,0.4334968739412481,0.07998633253963489,0.27672654290811954,0.5902672049743767,38.384572842917144,42,ok
region,Samarkand region,2010,upward_mobility_rate,0.2673543836366163,0.03694264618805325,0.19494812761442604,0.33976063965880654,143.52424257754475,157,ok
region,Sirdarya region,2010,upward_mobility_rate,0.3590172886870768,0.07314416617665978,0.21565735730161084,0.5023772200725427,43.01325331431468,45,ok
region,Tashkent city,2010,upward_mobility_rate,0.40944949628216387,0.044860609427911945,0.3215243174789385,0.49737467508538924,120.15090522671014,133,ok
region,Tashkent region,2010,upward_mobility_rate,0.331534415566541,0.048737831899490484,0.2360100203589723,0.4270588107741097,93.29862841331655,103,ok
region,Bukhara region,2016,upward_mobility_rate,0.2032252882102736,0.044263977215279506,0.11646948705582424,0.289981089364723,82.64420812430885,111,ok
region,Jizzakh region,2016,upward_mobility_rate,0.2079223259785522,0.05277983360917812,0.10447575299454641,0.311368898962558,59.11978738819256,82,ok
region,Karakalpakstan republic,2016,upward_mobility_rate,0.27551458411600194,0.049170432004083504,0.17914230828372266,0.3718868599482812,82.55933616953601,115,ok
region,Khorezm region,2016,upward_mobility_rate,0.2735058977230163,0.053833728773429346,0.1679937281735972,0.3790180672724354,68.563008273215,93,ok
region,Namangan region,2016,upward_mobility_rate,0.21761823305236422,0.03997874596454881,0.13926133081477254,0.2959751352899559,106.52601136491835,156,ok
region,Navoi region,2016,upward_mobility_rate,0.27536098850029334,0.08114240123793878,0.11632480445483506,0.4343971725457516,30.305985545974487,39,ok
region,Samarkand region,2016,upward_mobility_rate,0.22774389514973656,0.032742661314943494,0.16356945821445446,0.29191833208501866,164.05147619389103,215,ok
region,Sirdarya region,2016,upward_mobility_rate,0.3437273551128413,0.08238420853869294,0.182257273482166,0.5051974367435166,33.23613013830603,45,ok
region,Tashkent city,2016,upward_mobility_rate,0.26153724892077546,0.03980447954203126,0.18352190259503282,0.3395525952465181,121.89846744824749,163,ok
region,Tashkent region,2016,upward_mobility_rate,0.33296514199664257,0.04148919946875333,0.2516478052904877,0.41428247870279744,129.02598678733435,166,ok
region,Andijan region,2022,upward_mobility_rate,0.09347018540138295,0.04347045203694241,0.008269665017300018,0.1786707057854659,44.84013211819462,74,ok
region,Bukhara region,2022,upward_mobility_rate,0.12653262180267444,0.06629494291132187,0,0.25646832226600424,25.147128138694352,43,ok
